Dossier de Prêt;Solde du Compte Courant;Durée du Prêt;Remboursement des Prêts Antérieurs;Objectif du Prêt;Montant du Prêt;Valeur de l'Épargne;Ancienneté chez l'Employeur Actuel;Endettement en % du Revenu Disponible;Statut Marital;Sexe;Ancienneté dans le Ménage Actuel;Actifs les Plus Importants;Age;Autres Prêts en Cours;Type de Logement;Nombre de Prêts Antérieurs dans cette Banque;Occupation;Ensemble
bon;>300€;12;remboursement intégral;autre;1 628,20 €;140-700;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;42;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;autre;1 920,80 €;pas d'épargne;5-8 ans;25-35;divorcé/séparé;Homme;5-8 ans;assurance vie;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;36;aucun prêt antérieur;autre;20 045,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;55;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Apprentissage
bon;>300€;54;délicat;véhicule neuf;13 210,40 €;>1400;1-5 ans;25-35;célibataire;Homme;1-5 ans;véhicule;37;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;6;aucun prêt antérieur;véhicule neuf;1 892,80 €;140-700;sans emploi;> 35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;21;pas d'autres prêts en cours;à titre gracieux;1;sans expérience et sans domicile fixe;Test
bon;négligeable;14;aucun prêt antérieur;réorientation professionnelle;1 974,00 €;140-700;> 8 ans;> 35;marié/veuf;Homme;1-5 ans;aucun actif;33;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;36;aucun prêt antérieur;autre;4 310,60 €;>1400;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;mobilier;2 146,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;36;grand magasin;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;autre;3 610,60 €;pas d'épargne;<1 an;< 15;célibataire;Homme;< 1 an;aucun actif;31;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;36;aucun prêt antérieur;véhicule d'occasion;4 824,40 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;40;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;>300€;12;aucun prêt antérieur;véhicule d'occasion;1 572,20 €;140-700;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;27;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;30;aucun problème avec les prêts antérieurs;réorientation professionnelle;3 504,20 €;<140;> 8 ans;< 15;célibataire;Homme;1-5 ans;véhicule;39;grand magasin;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;36;remboursement intégral;véhicule neuf;14 667,80 €;>1400;> 8 ans;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;40;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;véhicule neuf;3 750,60 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;propriétaire d'un logement/terrain;27;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;6;aucun prêt antérieur;télévision;1 873,20 €;140-700;1-5 ans;> 35;divorcé/séparé;Homme;>8 ans;aucun actif;60;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;remboursement intégral;mobilier;1 723,40 €;700-1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;55;pas d'autres prêts en cours;à titre gracieux;02-avr;cadre/profession libérale;Apprentissage
bon;négligeable;18;remboursement intégral;véhicule d'occasion;10 323,60 €;pas d'épargne;sans emploi;< 15;célibataire;Homme;>8 ans;véhicule;38;grand magasin;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;15;aucun prêt antérieur;télévision;1 223,60 €;>1400;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;20;aucun prêt antérieur;véhicule d'occasion;3 096,80 €;>1400;5-8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;37;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;18;aucun prêt antérieur;mobilier;4 498,20 €;140-700;<1 an;> 35;marié/veuf;Homme;5-8 ans;aucun actif;23;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;36;aucun prêt antérieur;véhicule neuf;11 520,60 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;véhicule;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;42;remboursement intégral;réorientation professionnelle;8 335,60 €;pas d'épargne;5-8 ans;25-35;divorcé/séparé/marié;Femme;< 1 an;aucun actif;39;banques concurrentes;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;6;remboursement intégral;autre;5 146,40 €;pas d'épargne;1-5 ans;> 35;célibataire;Homme;5-8 ans;aucun actif;35;pas d'autres prêts en cours;à titre gracieux;05-juin;salarié expérimenté;Apprentissage
mauvais;négligeable;12;aucun prêt antérieur;électroménager;894,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;28;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;18;remboursement intégral;autre;1 439,20 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;5-8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;48;comptes courants à problèmes;réorientation professionnelle;5 052,60 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;< 1 an;aucun actif;25;grand magasin;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;aucun prêt antérieur;véhicule d'occasion;2 854,60 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;aucun actif;18;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;négligeable;12;aucun prêt antérieur;autre;1 845,20 €;700-1400;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;52;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;27;aucun problème avec les prêts antérieurs;véhicule neuf;12 058,20 €;700-1400;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;12;remboursement intégral;autre;2 970,80 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;1-5 ans;aucun actif;37;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience avec domicile fixe;Test
bon;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;2 601,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;assurance vie;20;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
bon;>300€;28;remboursement intégral;mobilier;3 840,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;27;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;12;aucun prêt antérieur;mobilier;2 997,40 €;<140;5-8 ans;15- 25;célibataire;Homme;< 1 an;propriétaire d'un logement/terrain;33;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;12;remboursement intégral;mobilier;730,80 €;140-700;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;40;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;7;remboursement intégral;mobilier;1 022,00 €;>1400;> 8 ans;< 15;célibataire;Homme;1-5 ans;véhicule;44;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience avec domicile fixe;Test
bon;>300€;24;remboursement intégral;mobilier;3 112,20 €;<140;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;50;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;10;aucun prêt antérieur;autre;1 801,80 €;>1400;> 8 ans;< 15;célibataire;Homme;1-5 ans;véhicule;43;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;<= 300€;15;aucun prêt antérieur;mobilier;3 257,80 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;5-8 ans;aucun actif;23;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
mauvais;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;11 011,00 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;51;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Apprentissage
mauvais;négligeable;24;aucun prêt antérieur;mobilier;4 328,80 €;<140;<1 an;15- 25;marié/veuf;Homme;1-5 ans;assurance vie;20;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;mobilier;992,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;55;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;18;remboursement intégral;véhicule d'occasion;1 813,00 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;véhicule;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;24;aucun prêt antérieur;autre;4 372,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;véhicule;25;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;12;remboursement intégral;télévision;1 993,60 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;5-8 ans;véhicule;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;aucun prêt antérieur;véhicule d'occasion;3 446,80 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;20;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;18;aucun prêt antérieur;véhicule d'occasion;3 521,00 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;>8 ans;aucun actif;41;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;36;remboursement intégral;mobilier;4 678,80 €;>1400;> 8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;49;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;45;remboursement intégral;mobilier;6 644,40 €;pas d'épargne;<1 an;< 15;célibataire;Homme;1-5 ans;véhicule;22;banques concurrentes;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;6;aucun prêt antérieur;mobilier;1 495,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;24;remboursement intégral;véhicule neuf;9 578,80 €;>1400;1-5 ans;25-35;célibataire;Homme;>8 ans;véhicule;44;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
mauvais;>300€;48;aucun prêt antérieur;réorientation professionnelle;6 781,60 €;pas d'épargne;sans emploi;15- 25;célibataire;Homme;1-5 ans;assurance vie;31;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Test
bon;>300€;12;aucun prêt antérieur;véhicule neuf;6 545,00 €;>1400;<1 an;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;18;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
bon;>300€;12;remboursement intégral;réparations;4 991,00 €;>1400;<1 an;25-35;célibataire;Homme;< 1 an;véhicule;35;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
mauvais;négligeable;18;aucun prêt antérieur;véhicule neuf;18 166,40 €;pas d'épargne;sans emploi;15- 25;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;36;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Apprentissage
bon;négligeable;15;remboursement intégral;réorientation professionnelle;3 256,40 €;140-700;1-5 ans;25-35;célibataire;Homme;>8 ans;assurance vie;25;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;36;aucun problème avec les prêts antérieurs;autre;11 320,40 €;<140;> 8 ans;25-35;célibataire;Homme;>8 ans;assurance vie;40;grand magasin;locataire;7 et +;cadre/profession libérale;Test
mauvais;pas de compte courant;12;remboursement intégral;autre;967,40 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;5-8 ans;véhicule;33;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;<= 300€;10;aucun prêt antérieur;autre;1 736,00 €;<140;> 8 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;46;pas d'autres prêts en cours;propriétaire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;mobilier;1 017,80 €;<140;<1 an;< 15;marié/veuf;Homme;5-8 ans;propriétaire d'un logement/terrain;31;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;12;aucun prêt antérieur;autre;4 937,80 €;>1400;<1 an;25-35;célibataire;Homme;5-8 ans;véhicule;43;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;24;aucun prêt antérieur;véhicule d'occasion;4 527,60 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;21;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;36;aucun prêt antérieur;réorientation professionnelle;10 372,60 €;>1400;> 8 ans;15- 25;célibataire;Homme;1-5 ans;véhicule;35;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;<= 300€;12;aucun prêt antérieur;mobilier;4 222,40 €;pas d'épargne;1-5 ans;15- 25;marié/veuf;Homme;< 1 an;assurance vie;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;10;aucun prêt antérieur;véhicule neuf;3 987,20 €;<140;1-5 ans;> 35;célibataire;Homme;1-5 ans;aucun actif;30;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;24;aucun prêt antérieur;mobilier;2 552,20 €;pas d'épargne;sans emploi;< 15;célibataire;Homme;1-5 ans;assurance vie;28;grand magasin;locataire;1;cadre/profession libérale;Test
bon;pas de compte courant;18;aucun prêt antérieur;véhicule d'occasion;3 722,60 €;700-1400;1-5 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;pas de compte courant;24;délicat;véhicule d'occasion;5 754,00 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;21;banques concurrentes;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;4;remboursement intégral;autre;2 037,00 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;< 1 an;aucun actif;40;pas d'autres prêts en cours;locataire;05-juin;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;24;comptes courants à problèmes;mobilier;2 164,40 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;22;banques concurrentes;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;36;aucun prêt antérieur;véhicule neuf;11 386,20 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;28;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;18;remboursement intégral;mobilier;1 608,60 €;700-1400;1-5 ans;< 15;célibataire;Homme;5-8 ans;aucun actif;44;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;12;comptes courants à problèmes;vacances;474,60 €;pas d'épargne;> 8 ans;< 15;marié/veuf;Homme;< 1 an;assurance vie;43;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Test
bon;pas de compte courant;18;aucun prêt antérieur;mobilier;2 710,40 €;>1400;5-8 ans;25-35;marié/veuf;Homme;>8 ans;assurance vie;21;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience avec domicile fixe;Test
bon;pas de compte courant;24;remboursement intégral;véhicule neuf;4 139,80 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;61;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;15;aucun prêt antérieur;réorientation professionnelle;1 128,40 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;20;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;>300€;30;remboursement intégral;mobilier;6 342,00 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;24;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
bon;négligeable;11;aucun problème avec les prêts antérieurs;mobilier;6 679,40 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;>8 ans;véhicule;49;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;12;aucun prêt antérieur;mobilier;3 039,40 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;27;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;remboursement intégral;véhicule d'occasion;2 973,60 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;22;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;36;aucun prêt antérieur;mobilier;5 033,00 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;6;aucun prêt antérieur;autre;926,80 €;pas d'épargne;<1 an;15- 25;célibataire;Homme;>8 ans;aucun actif;39;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;18;remboursement intégral;mobilier;1 537,20 €;pas d'épargne;sans emploi;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;63;pas d'autres prêts en cours;locataire;02-avr;sans expérience et sans domicile fixe;Apprentissage
bon;pas de compte courant;12;remboursement intégral;autre;2 969,40 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;véhicule;28;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;12;aucun prêt antérieur;véhicule neuf;3 423,00 €;>1400;<1 an;25-35;marié/veuf;Homme;>8 ans;assurance vie;24;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
mauvais;négligeable;36;aucun prêt antérieur;réparations;17 656,80 €;<140;1-5 ans;> 35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;45;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Test
bon;>300€;36;remboursement intégral;réorientation professionnelle;8 825,60 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;30;aucun prêt antérieur;véhicule d'occasion;5 070,80 €;700-1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;55;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;30;comptes courants à problèmes;véhicule d'occasion;4 894,40 €;700-1400;1-5 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;32;grand magasin;locataire;1;salarié expérimenté;Test
mauvais;négligeable;36;délicat;mobilier;5 325,60 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;< 1 an;assurance vie;40;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;12;remboursement intégral;mobilier;1 366,40 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;33;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;36;aucun prêt antérieur;véhicule d'occasion;5 068,00 €;pas d'épargne;1-5 ans;> 35;célibataire;Homme;1-5 ans;véhicule;35;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;60;aucun prêt antérieur;autre;9 137,80 €;>1400;1-5 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;32;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;60;comptes courants à problèmes;création d'entreprise;20 694,80 €;<140;> 8 ans;15- 25;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;58;banques concurrentes;propriétaire;02-avr;cadre/profession libérale;Test
bon;négligeable;18;aucun problème avec les prêts antérieurs;réorientation professionnelle;3 397,80 €;>1400;> 8 ans;< 15;célibataire;Homme;1-5 ans;véhicule;40;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;22;aucun prêt antérieur;autre;1 796,20 €;>1400;5-8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;23;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
bon;pas de compte courant;6;aucun prêt antérieur;télévision;480,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;25;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;16;remboursement intégral;autre;1 645,00 €;pas d'épargne;sans emploi;25-35;célibataire;Homme;5-8 ans;assurance vie;66;pas d'autres prêts en cours;propriétaire;05-juin;sans expérience et sans domicile fixe;Apprentissage
bon;pas de compte courant;27;remboursement intégral;réorientation professionnelle;3 418,80 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;41;grand magasin;locataire;7 et +;cadre/profession libérale;Test
bon;négligeable;15;aucun prêt antérieur;électroménager;1 831,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;36;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
mauvais;négligeable;9;aucun prêt antérieur;véhicule d'occasion;1 342,60 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;27;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;48;délicat;réorientation professionnelle;5 381,60 €;<140;5-8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;32;pas d'autres prêts en cours;propriétaire;1;sans expérience avec domicile fixe;Test
bon;>300€;24;remboursement intégral;mobilier;2 591,40 €;pas d'épargne;5-8 ans;< 15;marié/veuf;Homme;1-5 ans;assurance vie;31;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;27;aucun prêt antérieur;réorientation professionnelle;5 481,00 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;vacances;1 262,80 €;pas d'épargne;5-8 ans;< 15;marié/veuf;Homme;>8 ans;véhicule;19;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;36;aucun prêt antérieur;véhicule neuf;6 560,40 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;30;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Apprentissage
bon;>300€;15;aucun prêt antérieur;véhicule neuf;6 519,80 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;28;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;27;délicat;réorientation professionnelle;11 645,20 €;pas d'épargne;> 8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;40;grand magasin;propriétaire;02-avr;cadre/profession libérale;Apprentissage
bon;>300€;27;remboursement intégral;véhicule d'occasion;6 336,40 €;700-1400;<1 an;< 15;célibataire;Homme;1-5 ans;aucun actif;30;grand magasin;locataire;02-avr;sans expérience avec domicile fixe;Test
mauvais;pas de compte courant;48;aucun prêt antérieur;autre;5 503,40 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;44;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;négligeable;24;aucun problème avec les prêts antérieurs;mobilier;2 174,20 €;<140;5-8 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;véhicule;21;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;9;aucun prêt antérieur;autre;4 473,00 €;>1400;1-5 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;31;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;<= 300€;36;aucun prêt antérieur;mobilier;6 262,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;29;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;négligeable;9;comptes courants à problèmes;autre;2 011,80 €;<140;5-8 ans;25-35;célibataire;Homme;5-8 ans;propriétaire d'un logement/terrain;27;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;30;remboursement intégral;véhicule neuf;8 661,80 €;<140;5-8 ans;> 35;marié/veuf;Homme;>8 ans;assurance vie;22;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;autre;2 056,60 €;<140;> 8 ans;< 15;marié/veuf;Homme;>8 ans;aucun actif;39;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;20;aucun prêt antérieur;véhicule neuf;9 055,20 €;>1400;sans emploi;> 35;divorcé/séparé;Homme;>8 ans;aucun actif;58;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;pas de compte courant;6;remboursement intégral;mobilier;473,20 €;140-700;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;50;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;négligeable;30;délicat;réorientation professionnelle;5 992,00 €;<140;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;24;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;24;aucun prêt antérieur;véhicule d'occasion;3 969,00 €;140-700;> 8 ans;15- 25;célibataire;Homme;>8 ans;véhicule;51;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
